Id;Title;Section;IsHorizontal
00;Panini Logo;We Are Panini;true
FWC1;Official Emblem;FIFA World Cup 2026;true
FWC2;Official Emblem;FIFA World Cup 2026;true
FWC3;Official Mascots;FIFA World Cup 2026;true
FWC4;Official Slogan;FIFA World Cup 2026;false
FWC5;Official Ball;FIFA World Cup 2026;false
FWC6;Canada;Host Countries and Cities;false
FWC7;Mexico;Host Countries and Cities;false
FWC8;USA;Host Countries and Cities;false
MEX1;Emblem;Mexico;false
MEX2;Luis Malagón;Mexico;false
MEX3;Johan Vasquez;Mexico;false
MEX4;Jorge Sánchez;Mexico;false
MEX5;Cesar Montes;Mexico;false
MEX6;Jesus Gallardo;Mexico;false
MEX7;Israel Reyes;Mexico;false
MEX8;Diego Lainez;Mexico;false
MEX9;Carlos Rodriguez;Mexico;false
MEX10;Edson Alvarez;Mexico;false
MEX11;Orbelin Pineda;Mexico;false
MEX12;Marcel Ruiz;Mexico;false
MEX13;Team Photo;Mexico;true
MEX14;Érick Sánchez;Mexico;false
MEX15;Hirving Lozano;Mexico;false
MEX16;Santiago Giménez;Mexico;false
MEX17;Raúl Jiménez;Mexico;false
MEX18;Alexis Vega;Mexico;false
MEX19;Roberto Alvarado;Mexico;false
MEX20;Cesar Huerta;Mexico;false
RSA1;Emblem;South Africa;false
RSA2;Ronwen Williams;South Africa;false
RSA3;Sipho Chaine;South Africa;false
RSA4;Aubrey Modiba;South Africa;false
RSA5;Samukele Kabini;South Africa;false
RSA6;Mbekezeli Mbokazi;South Africa;false
RSA7;Khulumani Ndamane;South Africa;false
RSA8;Siyabonga Ngezana;South Africa;false
RSA9;Khuliso Mudau;South Africa;false
RSA10;Nkosinathi Sibisi;South Africa;false
RSA11;Teboho Mokoena;South Africa;false
RSA12;Thalente Mbatha;South Africa;false
RSA13;Team Photo;South Africa;true
RSA14;Bathasi Aubaas;South Africa;false
RSA15;Yaya Sithole;South Africa;false
RSA16;Sipho Mbule;South Africa;false
RSA17;Lyle Foster;South Africa;false
RSA18;Iqraam Rayners;South Africa;false
RSA19;Mohau Nkota;South Africa;false
RSA20;Oswin Appollis;South Africa;false
KOR1;Emblem;South Korea;false
KOR2;Hyeon-woo Jo;South Korea;false
KOR3;Seung-Gyu Kim;South Korea;false
KOR4;Min-jae Kim;South Korea;false
KOR5;Yu-min Cho;South Korea;false
KOR6;Young-woo Seol;South Korea;false
KOR7;Han-beom Lee;South Korea;false
KOR8;Tae-seok Lee;South Korea;false
KOR9;Myung-jae Lee;South Korea;false
KOR10;Jae-sung Lee;South Korea;false
KOR11;In-beom Hwang;South Korea;false
KOR12;Kang-in Lee;South Korea;false
KOR13;Team Photo;South Korea;true
KOR14;Seung-ho Paik;South Korea;false
KOR15;Jens Castrop;South Korea;false
KOR16;Dongg-yeong Lee;South Korea;false
KOR17;Gue-sung Cho;South Korea;false
KOR18;Heung-min Son;South Korea;false
KOR19;Hee-chan Hwang;South Korea;false
KOR20;Hyeon-Gyu Oh;South Korea;false
CZE1;Emblem;Czechia;false
CZE2;Matej Kovar;Czechia;false
CZE3;Jindrich Stanek;Czechia;false
CZE4;Ladislav Krejci;Czechia;false
CZE5;Vladimir Coufal;Czechia;false
CZE6;Jaroslav Zeleny;Czechia;false
CZE7;Tomas Holes;Czechia;false
CZE8;David Zima;Czechia;false
CZE9;Michal Sadilek;Czechia;false
CZE10;Lukas Provod;Czechia;false
CZE11;Lukas Cerv;Czechia;false
CZE12;Tomas Soucek;Czechia;false
CZE13;Team Photo;Czechia;true
CZE14;Pavel Sulc;Czechia;false
CZE15;Matej Vydra;Czechia;false
CZE16;Vasil Kusej;Czechia;false
CZE17;Tomas Chory;Czechia;false
CZE18;Vacilav Cerny;Czechia;false
CZE19;Adam Hlozek;Czechia;false
CZE20;Patrik Schick;Czechia;false
CAN1;Emblem;Canada;false
CAN2;Dayne St.Clair;Canada;false
CAN3;Alphonso Davies;Canada;false
CAN4;Alistair Johnston;Canada;false
CAN5;Samuel Adekugbe;Canada;false
CAN6;Riche Larvea;Canada;false
CAN7;Derek Cornelius;Canada;false
CAN8;Moïse Bombito;Canada;false
CAN9;Kamal Miller;Canada;false
CAN10;Stephen Eustáquio;Canada;false
CAN11;Ismaël Koné;Canada;false
CAN12;Jonathan Osorio;Canada;false
CAN13;Team Photo;Canada;true
CAN14;Jacob Shaffelburg;Canada;false
CAN15;Mathieu Choinière;Canada;false
CAN16;Niko Sigur;Canada;false
CAN17;Tajon Buchanan;Canada;false
CAN18;Liam Millar;Canada;false
CAN19;Cyle Larin;Canada;false
CAN20;Jonathan David;Canada;false
BIH1;Emblem;Bosnia and Herzegovina;false
BIH2;Nikola Vasilj;Bosnia and Herzegovina;false
BIH3;Amer Dedic;Bosnia and Herzegovina;false
BIH4;Sead Kolasinac;Bosnia and Herzegovina;false
BIH5;Tarik Muharemovic;Bosnia and Herzegovina;false
BIH6;Nihad Mujakic;Bosnia and Herzegovina;false
BIH7;Nikola Katic;Bosnia and Herzegovina;false
BIH8;Amir Hadziahmetovic;Bosnia and Herzegovina;false
BIH9;Benjamin Tahirovic;Bosnia and Herzegovina;false
BIH10;Armin Gigovic;Bosnia and Herzegovina;false
BIH11;Ivan Sunjic;Bosnia and Herzegovina;false
BIH12;Ivan Basic;Bosnia and Herzegovina;false
BIH13;Team Photo;Bosnia and Herzegovina;true
BIH14;Dzenis Burnic;Bosnia and Herzegovina;false
BIH15;Esmir Bajraktarevic;Bosnia and Herzegovina;false
BIH16;Amar Memic;Bosnia and Herzegovina;false
BIH17;Ermedin Demirovic;Bosnia and Herzegovina;false
BIH18;Edin Dzeko;Bosnia and Herzegovina;false
BIH19;Samed Bazdar;Bosnia and Herzegovina;false
BIH20;Haris Tabakovic;Bosnia and Herzegovina;false
QAT1;Emblem;Qatar;false
QAT2;Meshaal Barsham;Qatar;false
QAT3;Sultan Albrake;Qatar;false
QAT4;Lucas Mendes;Qatar;false
QAT5;Homam Ahmed;Qatar;false
QAT6;Boualem Khoukhi;Qatar;false
QAT7;Pedro Miguel;Qatar;false
QAT8;Tarek Salman;Qatar;false
QAT9;Mohamed Al-Mannai;Qatar;false
QAT10;Karim Boudiaf;Qatar;false
QAT11;Assim Madibo;Qatar;false
QAT12;Ahmed Fatehi;Qatar;false
QAT13;Team Photo;Qatar;true
QAT14;Mohammed Waad;Qatar;false
QAT15;Abdulaziz Hatem;Qatar;false
QAT16;Hassan Al-Haydos;Qatar;false
QAT17;Edmilson Junior;Qatar;false
QAT18;Akram Hassan Afif;Qatar;false
QAT19;Ahmed Al Ganehi;Qatar;false
QAT20;Almoez Ali;Qatar;false
SUI1;Emblem;Switzerland;false
SUI2;Gregor Kobel;Switzerland;false
SUI3;Yvon Mvogo;Switzerland;false
SUI4;Manuel Akanji;Switzerland;false
SUI5;Ricardo Rodriguez;Switzerland;false
SUI6;Nico Elvedi;Switzerland;false
SUI7;Aurèle Amenda;Switzerland;false
SUI8;Silvan Widmer;Switzerland;false
SUI9;Granit Xhaka;Switzerland;false
SUI10;Denis Zakaria;Switzerland;false
SUI11;Remo Freuler;Switzerland;false
SUI12;Fabian Rieder;Switzerland;false
SUI13;Team Photo;Switzerland;true
SUI14;Ardon Jashari;Switzerland;false
SUI15;Johan Manzambi;Switzerland;false
SUI16;Michel Aebischer;Switzerland;false
SUI17;Breel Embolo;Switzerland;false
SUI18;Ruben Vargas;Switzerland;false
SUI19;Dan Ndoye;Switzerland;false
SUI20;Zeki Amdouni;Switzerland;false
BRA1;Emblem;Brazil;false
BRA2;Alisson;Brazil;false
BRA3;Bento;Brazil;false
BRA4;Marquinhos;Brazil;false
BRA5;Éder Militão;Brazil;false
BRA6;Gabriel Magalhães;Brazil;false
BRA7;Danilo;Brazil;false
BRA8;Wesley;Brazil;false
BRA9;Lucas Paquetá;Brazil;false
BRA10;Casemiro;Brazil;false
BRA11;Bruno Guimarães;Brazil;false
BRA12;Luiz Henrique;Brazil;false
BRA13;Team Photo;Brazil;true
BRA14;Vinicius Júnior;Brazil;false
BRA15;Rodrygo;Brazil;false
BRA16;João Pedro;Brazil;false
BRA17;Matheus Cunha;Brazil;false
BRA18;Gabriel Martinelli;Brazil;false
BRA19;Raphinha;Brazil;false
BRA20;Estévão;Brazil;false
MAR1;Emblem;Morocco;false
MAR2;Yassine Bounou;Morocco;false
MAR3;Munir El Kajoui;Morocco;false
MAR4;Achraf Hakimi;Morocco;false
MAR5;Noussair Mazraoui;Morocco;false
MAR6;Nayef Aguerd;Morocco;false
MAR7;Roman Saiss;Morocco;false
MAR8;Jawad El Yamio;Morocco;false
MAR9;Adam Masina;Morocco;false
MAR10;Sofyan Amrabat;Morocco;false
MAR11;Azzedine Ounahi;Morocco;false
MAR12;Eliesse Ben Seghir;Morocco;false
MAR13;Team Photo;Morocco;true
MAR14;Bilal El Khannouss;Morocco;false
MAR15;Ismael Saibari;Morocco;false
MAR16;Youssef En-Nesyri;Morocco;false
MAR17;Abde Ezzalzouli;Morocco;false
MAR18;Soufiane Rahimi;Morocco;false
MAR19;Brahim Diaz;Morocco;false
MAR20;Ayoub El Kaabi;Morocco;false
HAI1;Emblem;Haiti;false
HAI2;Johny Placide;Haiti;false
HAI3;Carlens Arcus;Haiti;false
HAI4;Martin Expérience;Haiti;false
HAI5;Jean-Kevin Duverne;Haiti;false
HAI6;Ricardo Adé;Haiti;false
HAI7;Duke Lacroix;Haiti;false
HAI8;Garven Metusala;Haiti;false
HAI9;Hannes Delcroix;Haiti;false
HAI10;Leverton Pierre;Haiti;false
HAI11;Danley Jean Jacques;Haiti;false
HAI12;Jean-Ricner Bellegarde;Haiti;false
HAI13;Team Photo;Haiti;true
HAI14;Christopher Attys;Haiti;false
HAI15;Derrick Etienne Jr;Haiti;false
HAI16;Josue Casimir;Haiti;false
HAI17;Ruben Providence;Haiti;false
HAI18;Duckens Nazon;Haiti;false
HAI19;Louicius Deedson;Haiti;false
HAI20;Frantzdy Pierrot;Haiti;false
SCO1;Emblem;Scotland;false
SCO2;Angus Gunn;Scotland;false
SCO3;Jack Hendry;Scotland;false
SCO4;Kieran Tierney;Scotland;false
SCO5;Aaron Hickey;Scotland;false
SCO6;Andrew Robertson;Scotland;false
SCO7;Scott McKenna;Scotland;false
SCO8;John Souttar;Scotland;false
SCO9;Anthony Ralston;Scotland;false
SCO10;Grant Hanley;Scotland;false
SCO11;Scott McTominay;Scotland;false
SCO12;Billy Gilmour;Scotland;false
SCO13;Team Photo;Scotland;true
SCO14;Lewis Ferguson;Scotland;false
SCO15;Ryan Christie;Scotland;false
SCO16;Kenny McLean;Scotland;false
SCO17;John McGinn;Scotland;false
SCO18;Lyndon Dykes;Scotland;false
SCO19;Che Adams;Scotland;false
SCO20;Ben Gannon-Doak;Scotland;false
USA1;Emblem;USA;false
USA2;Math Freese;USA;false
USA3;Chris Richards;USA;false
USA4;Tim Ream;USA;false
USA5;Mark McKenzie;USA;false
USA6;Alex Freeman;USA;false
USA7;Antonee Robinson;USA;false
USA8;Tyler Adams;USA;false
USA9;Tanner Tessmann;USA;false
USA10;Weston McKenny;USA;false
USA11;Christian Roldan;USA;false
USA12;Timothy Weah;USA;false
USA13;Team Photo;USA;true
USA14;Diego Luna;USA;false
USA15;Malim Tillman;USA;false
USA16;Christian Pulisic;USA;false
USA17;Brenden Aaronson;USA;false
USA18;Ricardo Pepi;USA;false
USA19;Haji Wright;USA;false
USA20;Folarin Balogun;USA;false
PAR1;Emblem;Paraguay;false
PAR2;Roberto Fernandez;Paraguay;false
PAR3;Orlando Gill;Paraguay;false
PAR4;Gustavo Gomez;Paraguay;false
PAR5;Fabián Balbuena;Paraguay;false
PAR6;Juan José Cáceres;Paraguay;false
PAR7;Omar Alderete;Paraguay;false
PAR8;Junior Alonso;Paraguay;false
PAR9;Mathías Villasanti;Paraguay;false
PAR10;Diego Gomez;Paraguay;false
PAR11;Damián Bobadilla;Paraguay;false
PAR12;Andres Cubas;Paraguay;false
PAR13;Team Photo;Paraguay;true
PAR14;Matias Galarza Fonda;Paraguay;false
PAR15;Julio Enciso;Paraguay;false
PAR16;Alejandro Romero Gamarra;Paraguay;false
PAR17;Miguel Almirón;Paraguay;false
PAR18;Ramon Sosa;Paraguay;false
PAR19;Angel Romero;Paraguay;false
PAR20;Antonio Sanabria;Paraguay;false
AUS1;Emblem;Australia;false
AUS2;Mathew Ryan;Australia;false
AUS3;Joe Gauci;Australia;false
AUS4;Harry Souttar;Australia;false
AUS5;Alessandro Circati;Australia;false
AUS6;Jordan Bos;Australia;false
AUS7;Aziz Behich;Australia;false
AUS8;Cameron Burgess;Australia;false
AUS9;Lewis Miller;Australia;false
AUS10;Milos Degenek;Australia;false
AUS11;Jackson Irvine;Australia;false
AUS12;serge Gnabry;Australia;false
AUS13;Team Photo;Australia;true
AUS14;Aiden O'Neill;Australia;false
AUS15;Connor Metcalfe;Australia;false
AUS16;Patrick Yazbek;Australia;false
AUS17;Craig Goodwin;Australia;false
AUS18;Kusini Vengi;Australia;false
AUS19;Nestory Irankunda;Australia;false
AUS20;Mohamed Touré;Australia;false
TUR1;Emblem;Türkiye;false
TUR2;Ugurcan Cakir;Türkiye;false
TUR3;Mert Muldur;Türkiye;false
TUR4;Zeki Celik;Türkiye;false
TUR5;Abdulkerim Bardakci;Türkiye;false
TUR6;Caglar Soyunku;Türkiye;false
TUR7;Merih Demiral;Türkiye;false
TUR8;Ferdi Kadioglu;Türkiye;false
TUR9;Kaan Ayhan;Türkiye;false
TUR10;Ismail Yuksek;Türkiye;false
TUR11;Hakan Calhanoglu;Türkiye;false
TUR12;Orkun Kokcu;Türkiye;false
TUR13;Team Photo;Türkiye;true
TUR14;Arda Guler;Türkiye;false
TUR15;Irfan Can Kahvecu;Türkiye;false
TUR16;Yunus Akgun;Türkiye;false
TUR17;Can Uzun;Türkiye;false
TUR18;Baris Alper Yilmaz;Türkiye;false
TUR19;Kerem Akturkoglu;Türkiye;false
TUR20;Kenan Yildiz;Türkiye;false
GER1;Emblem;Germany;false
GER2;Marc-André ter Stegen;Germany;false
GER3;Jonathan Tah;Germany;false
GER4;David Raum;Germany;false
GER5;Nico Schlotterbeck;Germany;false
GER6;Antonio Rüdiger;Germany;false
GER7;Waldemar Anton;Germany;false
GER8;Ridle Baku;Germany;false
GER9;Maximilian Mittelstadt;Germany;false
GER10;Joshua Kimmich;Germany;false
GER11;Florian Wirtz;Germany;false
GER12;Felix Nmecha;Germany;false
GER13;Team Photo;Germany;true
GER14;Leon Goretzka;Germany;false
GER15;Jamal Musiala;Germany;false
GER16;Serge Gnabry;Germany;false
GER17;Kai Havertz;Germany;false
GER18;Leroy Sane;Germany;false
GER19;Karim Adeyemi;Germany;false
GER20;Nick Woltemade;Germany;false
CUW1;Emblem;Curaçao;false
CUW2;Eloy Room;Curaçao;false
CUW3;Armando Obispo;Curaçao;false
