Id;Title;Section;IsHorizontal
JPN5;Junnosuke Suzuki;Japan;false
JPN6;Shogo Taniguchi;Japan;false
JPN7;Tsuyoshi Watanabe;Japan;false
JPN8;Kaishu Sano;Japan;false
JPN9;Yuki Soma;Japan;false
JPN10;Ao Tanaka;Japan;false
JPN11;Daichi Kamada;Japan;false
JPN12;Takefusa Kubo;Japan;false
JPN13;Team Photo;Japan;true
JPN14;Ritsu Doan;Japan;false
JPN15;Keito Nakamura;Japan;false
JPN16;Takumi Minamino;Japan;false
JPN17;Shuto Machino;Japan;false
JPN18;Junya Ito;Japan;false
JPN19;Koki Ogawa;Japan;false
JPN20;Ayase Ueda;Japan;false
SWE1;Emblem;Sweden;false
SWE2;Victor Johansson;Sweden;false
SWE3;Isak Hien;Sweden;false
SWE4;Gabriel Gudmundsson;Sweden;false
SWE5;Emil Holm;Sweden;false
SWE6;Victor Nilsson Lindelöf;Sweden;false
SWE7;Gustaf Lagerbielke;Sweden;false
SWE8;Lucas Bergvall;Sweden;false
SWE9;Hugo Larsson;Sweden;false
SWE10;Jesper Karlström;Sweden;false
SWE11;Yasin Ayari;Sweden;false
SWE12;Mattias Svanberg;Sweden;false
SWE13;Team Photo;Sweden;true
SWE14;Daniel Svensson;Sweden;false
SWE15;Ken Sema;Sweden;false
SWE16;Roony Bardghji;Sweden;false
SWE17;Dejan Kulusevski;Sweden;false
SWE18;Anthony Elanga;Sweden;false
SWE19;Alexander Isak;Sweden;false
SWE20;Viktor Gyökeres;Sweden;false
TUN1;Emblem;Tunisia;false
TUN2;Bechir Ben Said;Tunisia;false
TUN3;Aymen Dahmen;Tunisia;false
TUN4;Van Valery;Tunisia;false
TUN5;Montassar Talbi;Tunisia;false
TUN6;Yassine Meriah;Tunisia;false
TUN7;Ali Abdi;Tunisia;false
TUN8;Dylan Bronn;Tunisia;false
TUN9;Ellyes Skhiri;Tunisia;false
TUN10;Aissa Laidouni;Tunisia;false
TUN11;Ferjani Sassi;Tunisia;false
TUN12;Mohamed Ali Ben Romdhane;Tunisia;false
TUN13;Team Photo;Tunisia;true
TUN14;Hannibal Mejbri;Tunisia;false
TUN15;Elias Achouri;Tunisia;false
TUN16;Elias Saad;Tunisia;false
TUN17;Hazem Mastouri;Tunisia;false
TUN18;Ismael Gharbi;Tunisia;false
TUN19;Sayfallah Ltaief;Tunisia;false
TUN20;Naim Sliti;Tunisia;false
BEL1;Emblem;Belgium;false
BEL2;Thibaut Courtois;Belgium;false
BEL3;Arthur Theate;Belgium;false
BEL4;Timothy Castagne;Belgium;false
BEL5;Zeno Debast;Belgium;false
BEL6;Brandon Mechele;Belgium;false
BEL7;Maxim De Cuyper;Belgium;false
BEL8;Thomas Meunier;Belgium;false
BEL9;Youri Tielemans;Belgium;false
BEL10;Amadou Onana;Belgium;false
BEL11;Nicolas Raskin;Belgium;false
BEL12;Alexis Saelemaekers;Belgium;false
BEL13;Team Photo;Belgium;true
BEL14;Hans Vanaken;Belgium;false
BEL15;Kevin De Bruyne;Belgium;false
BEL16;Jérémy Doku;Belgium;false
BEL17;Charles De Ketelaere;Belgium;false
BEL18;Leandro Trossard;Belgium;false
BEL19;Loïs Openda;Belgium;false
BEL20;Romelu Lukaku;Belgium;false
EGY1;Emblem;Egypt;false
EGY2;Mohamed El Shenawy;Egypt;false
EGY3;Mohamed Hany;Egypt;false
EGY4;Mohamed Hamdy;Egypt;false
EGY5;Yasser Ibrahim;Egypt;false
EGY6;Khaled Sobhi;Egypt;false
EGY7;Ramy Rabia;Egypt;false
EGY8;Hossam Abdelmaguid;Egypt;false
EGY9;Ahmed Fatouh;Egypt;false
EGY10;Marwan Attia;Egypt;false
EGY11;Zizo;Egypt;false
EGY12;Hamdy Fathy;Egypt;false
EGY13;Team Photo;Egypt;true
EGY14;Mohamed Lasheen;Egypt;false
EGY15;Emam Ashour;Egypt;false
EGY16;Osama Faisal;Egypt;false
EGY17;Mohamed Salah;Egypt;false
EGY18;Mostafa Mohamed;Egypt;false
EGY19;Trezeguet;Egypt;false
EGY20;Omar Marsmoush;Egypt;false
IRN1;Emblem;Iran;false
IRN2;Alirez Beiranvand;Iran;false
IRN3;Morteza Pouraliganji;Iran;false
IRN4;Ehsan Hajsafi;Iran;false
IRN5;Milad Mohammadi;Iran;false
IRN6;Shojae Khalilzadeh;Iran;false
IRN7;Ramin Rezaeian;Iran;false
IRN8;Hossein Kanaani;Iran;false
IRN9;Sadegh Moharrami;Iran;false
IRN10;Saleh Hardani;Iran;false
IRN11;Saeed Ezatolahi;Iran;false
IRN12;Saman Ghoddos;Iran;false
IRN13;Team Photo;Iran;true
IRN14;Omid Noorafkan;Iran;false
IRN15;Roozbeh Cheshmi;Iran;false
IRN16;Mohammad Mohebi;Iran;false
IRN17;Sardar Azmoun;Iran;false
IRN18;Mehdi Taremi;Iran;false
IRN19;Alireza Jahanbakhsh;Iran;false
IRN20;Ali Gholizadeh;Iran;false
NZL1;Emblem;New Zealand;false
NZL2;Max Crocombe Payne;New Zealand;false
NZL3;Alex Paulsen;New Zealand;false
NZL4;Michael Boxall;New Zealand;false
NZL5;Liberato Cacace;New Zealand;false
NZL6;Tim Payne;New Zealand;false
NZL7;Tyler Bindon;New Zealand;false
NZL8;Francis de Vries;New Zealand;false
NZL9;Finn Surman;New Zealand;false
NZL10;Joe Bell;New Zealand;false
NZL11;Sarpreet Singh;New Zealand;false
NZL12;Ryan Thomas;New Zealand;false
NZL13;Team Photo;New Zealand;true
NZL14;Matthew Garbett;New Zealand;false
NZL15;Marko Stameni?;New Zealand;false
NZL16;Ben Old;New Zealand;false
NZL17;Chris Wood;New Zealand;false
NZL18;Elijah Just;New Zealand;false
NZL19;Callum McCowatt;New Zealand;false
NZL20;Kosta Barbarouses;New Zealand;false
ESP1;Emblem;Spain;false
ESP2;Unai Simon;Spain;false
ESP3;Robin Le Normand;Spain;false
ESP4;Aymeric Laporte;Spain;false
ESP5;Dean Huijsen;Spain;false
ESP6;Pedro Porro;Spain;false
ESP7;Dani Carvajal;Spain;false
ESP8;Marc Cucurella;Spain;false
ESP9;Martín Zubimendi;Spain;false
ESP10;Rodri;Spain;false
ESP11;Pedri;Spain;false
ESP12;Fabian Ruiz;Spain;false
ESP13;Team Photo;Spain;true
ESP14;Mikel Merino;Spain;false
ESP15;Lamine Yamal;Spain;false
ESP16;Dani Olmo;Spain;false
ESP17;Nico Williams;Spain;false
ESP18;Ferran Torres;Spain;false
ESP19;Álvaro Morata;Spain;false
ESP20;Mikel Oyarzabal;Spain;false
CPV1;Emblem;Cape Verde;false
CPV2;Vozinha;Cape Verde;false
CPV3;Logan Costa;Cape Verde;false
CPV4;Pico;Cape Verde;false
CPV5;Diney;Cape Verde;false
CPV6;Steven Moreira;Cape Verde;false
CPV7;Wagner Pina;Cape Verde;false
CPV8;Joao Paulo;Cape Verde;false
CPV9;Yannick Semedo;Cape Verde;false
CPV10;Kevin Pina;Cape Verde;false
CPV11;Patrick Andrade;Cape Verde;false
CPV12;Jamiro Monteiro;Cape Verde;false
CPV13;Team Photo;Cape Verde;true
CPV14;Deroy Duarte;Cape Verde;false
CPV15;Garry Rodrigues;Cape Verde;false
CPV16;Jovane Cabral;Cape Verde;false
CPV17;Ryan Mendes;Cape Verde;false
CPV18;Dailon Livramento;Cape Verde;false
CPV19;Willy Semedo;Cape Verde;false
CPV20;Bebe;Cape Verde;false
KSA1;Emblem;Saudi Arabia;false
KSA2;Nawaf Alaqidi;Saudi Arabia;false
KSA3;Abdulrahman Al-Sanbi;Saudi Arabia;false
KSA4;Saud Abdulhamid;Saudi Arabia;false
KSA5;Nawaf Bouwashl;Saudi Arabia;false
KSA6;Jihad Thakri;Saudi Arabia;false
KSA7;Moteb Al-Harbi;Saudi Arabia;false
KSA8;Hassan Altambakti;Saudi Arabia;false
KSA9;Musab Aljuwayr;Saudi Arabia;false
KSA10;Ziyad Aljohani;Saudi Arabia;false
KSA11;Abdullah Alkhaibari;Saudi Arabia;false
KSA12;Nasser Aldawsari;Saudi Arabia;false
KSA13;Team Photo;Saudi Arabia;true
KSA14;Saleh Abu Alshamat;Saudi Arabia;false
KSA15;Marwan Alsahafi;Saudi Arabia;false
KSA16;Salem Aldawsari;Saudi Arabia;false
KSA17;Abdulrahman Al-Aboud;Saudi Arabia;false
KSA18;Feras Akbrikan;Saudi Arabia;false
KSA19;Saleh Alshehri;Saudi Arabia;false
KSA20;Abdullah Al-Hamdan;Saudi Arabia;false
URU1;Emblem;Uruguay;false
URU2;Sergio Rochet;Uruguay;false
URU3;Santiago Mele;Uruguay;false
URU4;Ronald Araujo;Uruguay;false
URU5;José María Giménez;Uruguay;false
URU6;Sebastian Caceres;Uruguay;false
URU7;Mathias Olivera;Uruguay;false
URU8;Guillermo Varela;Uruguay;false
URU9;Nahitan Nandez;Uruguay;false
URU10;Federico Valverde;Uruguay;false
URU11;Giorgian De Arrascaeta;Uruguay;false
URU12;Rodrigo Bentancur;Uruguay;false
URU13;Team Photo;Uruguay;true
URU14;Manuel Ugarte;Uruguay;false
URU15;Nicolás de la Cruz;Uruguay;false
URU16;Maxi Araujo;Uruguay;false
URU17;Darwin Núñez;Uruguay;false
URU18;Federico Viñas;Uruguay;false
URU19;Rodrigo Aguirre;Uruguay;false
URU20;Facundo Pellistri;Uruguay;false
FRA1;Emblem;France;false
FRA2;Mike Maignan;France;false
FRA3;Theo Hernandez;France;false
FRA4;William Saliba;France;false
FRA5;Jules Kounde;France;false
FRA6;Ibrahima Konate;France;false
FRA7;Dayot Upamecano;France;false
FRA8;Lucas Digne;France;false
FRA9;Aurélien Tchouaméni;France;false
FRA10;Eduardo Camavinga;France;false
FRA11;Manu Kone;France;false
FRA12;Adrien Rabiot;France;false
FRA13;Team Photo;France;true
FRA14;Michael Olise;France;false
FRA15;Ousmane Dembele;France;false
FRA16;Bradley Barcola;France;false
FRA17;Désiré Doué;France;false
FRA18;Kingsley Coman;France;false
FRA19;Hugo Ekitike;France;false
FRA20;Kylian Mbappe;France;false
SEN1;Emblem;Senegal;false
SEN2;Eduardo Mendy;Senegal;false
SEN3;Yehvann Diouf;Senegal;false
SEN4;Moussa Niakhaté;Senegal;false
SEN5;Abdoulaye Seck;Senegal;false
SEN6;Ismail Jakobs;Senegal;false
SEN7;El Hadji Malick Diouf;Senegal;false
SEN8;Kalidou Koulibaly;Senegal;false
SEN9;Idrissa Gana Gueye;Senegal;false
SEN10;Pape Matar Sarr;Senegal;false
SEN11;Pape Gueye;Senegal;false
SEN12;Habib Diarra;Senegal;false
SEN13;Team Photo;Senegal;true
SEN14;Lamine Camara;Senegal;false
SEN15;Sadio Mane;Senegal;false
SEN16;Ismaïla Sarr;Senegal;false
SEN17;Boulaye Dia;Senegal;false
SEN18;Iliman Ndiaye;Senegal;false
SEN19;Nicolas Jackson;Senegal;false
SEN20;Krepin Diatta;Senegal;false
IRQ1;Emblem;Iraq;false
IRQ2;Jalal Hassan;Iraq;false
IRQ3;Rebin Sulaka;Iraq;false
IRQ4;Hussein Ali;Iraq;false
IRQ5;Akam Hashem;Iraq;false
IRQ6;Merchas Doski;Iraq;false
IRQ7;Zaid Tahseen;Iraq;false
IRQ8;Manaf Younis;Iraq;false
IRQ9;Zidane Iqbal;Iraq;false
IRQ10;Amir Al-Ammari;Iraq;false
IRQ11;Ibrahim Bavesh;Iraq;false
